DISTRICTS,YEAR,YIELD,NDVI_JUN,NDVI_JUL,NDVI_AUG,NDVI_SEP,NDVI_OCT,NDVI_NOV,LAI_JUN,LAI_JUL,LAI_AUG,LAI_SEP,LAI_OCT,LAI_NOV,ET_JUN,ET_JUL,ET_AUG,ET_SEP,ET_OCT,ET_NOV,LST_JUN,LST_JUL,LST_AUG,LST_SEP,LST_OCT,LST_NOV,RF_JUN,RF_JUL,RF_AUG,RF_SEP,RF_OCT,RF_NOV,Anuppur,Ashoknagar,Balaghat,Barwani,Betul,Bhind,Bhopal,Burhanpur,Chhatarpur,Chhindwara,Damoh,Datia,Dewas,Dhar,Dindori,Guna,Gwalior,Harda,Hoshangabad,Indore,Jabalpur,Jhabua,Katni,Mandla,Mandsaur,Morena,Narsinghpur,Neemuch,Panna,Raisen,Rajgarh,Ratlam,Rewa,Sagar,Satna,Sehore,Seoni,Shahdol,Shajapur,Sheopur,Shivpuri,Sidhi,Tikamgarh,Ujjain,Umaria,Vidisha,NDVI_summer,LST_autumn
Damoh,2010.0,1.456819,0.21388966588661626,0.40891,0.44764553953506414,0.611685,0.528738,0.3827742739551075,0.3385600556095605,0.4766719713500707,1.191287,1.609111,0.7726674440909966,0.5902303433530163,0.781911437024975,10.92634,3.1676098985271945,3.3108170634301235,17.24076,2.5731472015882124,318.4193,311.3612,5.715550294788857,304.0185,306.103,305.2846,1.114707398010695,2.8139219860396216,2.4899290165632797,2.3281301226615336,0.5307611834027459,0.29688757153117395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2120199999999999,915.4060999999999
Datia,2010.0,0.575385,0.19282618943904015,0.34773,0.4324919049387693,0.456007,0.360618,0.3006437063615741,0.22174577487972805,0.3531235451808368,1.036642,1.08157,0.4710312260872054,0.3461092227717811,0.0683621392838755,4.457371,2.8303551456488893,2.9009835860833375,12.25277,2.2937337350488782,318.4734,312.4465,5.728307593545489,305.5283,308.1372,304.2232,0.7386079990799372,2.304228042612886,2.07565412847664,2.0246627061610787,0.23746609228965665,0.15253222798320235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.101495,917.8887000000001
Dewas,2010.0,1.251272,0.23686498045134724,0.40945,0.4753934530144954,0.563677,0.454305,0.3817323680260775,0.29072369203347426,0.4555186009259351,1.224999,1.595709,0.6252296235722136,0.5342434729711489,1.2740409774687822,14.10699,3.233578016045691,3.170563766388027,13.93318,2.540584152805799,316.7459,305.8363,5.708589900444889,305.8275,308.8087,305.9092,1.435355440969308,2.5132122399026953,2.385054085625487,1.9094866514728137,0.3508117891902866,0.7589747143136786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.285367,920.5454
Dhar,2010.0,1.323257,0.19092940275898654,0.375953,0.4143779372461396,0.54043,0.401119,0.33648723650871404,0.18980349714171024,0.42170584383798354,1.0114,1.424556,0.5216065007093578,0.4338614226248696,1.2361552491838823,16.86636,3.0689553185608713,3.1282918190880755,12.16506,2.378070230705527,316.4625,305.8466,5.706954438655132,305.9363,310.0923,306.7858,1.5437292135722216,2.3957779419254606,2.4176060955241336,1.8731088612791331,0.5076907150705032,0.8299504024090368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0997560000000002,922.8144000000001
Dindori,2010.0,0.797154,0.3183846378225569,0.442282,0.44384315862868706,0.709788,0.652957,0.47239015422822783,0.5729408987126746,0.5764189633868879,1.295026,2.060111,1.0694669942537516,0.9292144595804751,1.523465995019133,15.00943,3.203089473527491,3.55754222398192,24.11765,2.9506805128384466,314.8111,305.0079,5.711168795169816,301.4715,302.2063,301.3334,1.5472797027727347,2.7246588441681263,2.6059510281467553,2.432414391316146,0.9292468378854342,0.2515568433404456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.375873,905.0111999999999
Guna,2010.0,1.192663,0.1944617324103388,0.461357,0.4686495879454302,0.617051,0.391656,0.3227072176597672,0.24281048312966433,0.48415058747159356,1.592356,1.971999,0.5592225677773659,0.4104261152704875,0.47502102105751864,8.769944,3.117261616363728,3.2896220383523223,12.69324,2.452717424348066,320.0,310.212,5.711401707772731,304.1684,309.0421,305.7677,0.49687557268564825,2.506330511193273,2.336480207982345,1.8237087776274201,0.10586069054950736,0.7656845628399904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.273849,918.9782
Gwalior,2010.0,1.503241,0.21011585823535767,0.380858,0.4239119147339634,0.489469,0.400416,0.3439336168766034,0.24590884440233135,0.46829967834560504,1.077133,1.331359,0.6071768978072282,0.49671310903044885,0.0803608109194875,5.107566,3.0093101752247313,3.0810614447618634,13.801,2.406173639641668,317.2159,312.6004,5.723443261828186,304.9596,307.3736,302.7956,0.8591127884317403,2.2691107259240955,2.3271995561893695,1.9857553924237203,0.17130610890497425,0.22267864326120643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.142606,915.1288
Harda,2010.0,1.38434,0.2270311846653985,0.319247,0.4758608173801311,0.608487,0.454863,0.38794451499017496,0.3209966769076391,0.3780110027707264,1.274216,2.181229,0.6623502871997994,0.5840547098124408,1.3587281298895413,14.41416,3.1829227910308777,3.3521076226186604,14.24034,2.5547638143327456,318.0348,309.9936,5.711986727546647,302.777,307.2005,305.8015,1.4236891294038616,2.727271613774255,2.5083358629993557,2.049314881987764,0.4369243687063564,0.74843854699554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.183515,915.779
Hoshangabad,2010.0,0.638356,0.2652784755649012,0.294101,0.4670104040133293,0.616898,0.499765,0.40353190734580285,0.43761472604373197,0.3787870591761633,0.986322,1.990252,0.8697855351770802,0.7499631468825465,1.4784771557491339,15.94131,3.3881155193452166,3.343534723065126,17.30561,2.6244192857265727,316.3379,312.8677,5.71635675268625,302.7709,305.7216,304.1492,1.420285558777251,3.0116203863808253,2.7788559172817036,2.399792562714127,0.4921778293935076,0.5590476265623132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.193113,912.6417000000001
Indore,2010.0,1.142712,0.2184163958997684,0.390056,0.42417825324523967,0.489259,0.383889,0.3386812235834452,0.25308208727302184,0.5061836665338253,1.208888,1.367404,0.4533075217165814,0.45883777244012997,1.3780066124107653,14.86775,3.0274809093685695,3.0108548488241,11.58719,2.507932019642749,315.6965,305.4967,5.706906921816967,306.3645,309.4313,305.3659,1.5190643076679167,2.4421139647320924,2.4548485645921296,1.8153519647163285,0.42750575205159275,1.086578168232676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1624949999999998,921.1617000000001
Jabalpur,2010.0,1.187721,0.24528931367702514,0.33885,0.4186794133274878,0.609771,0.549946,0.4204141457056741,0.36786846211025886,0.4110660601178096,1.036088,1.638332,0.8566715044793276,0.6836759699103595,1.1406805462798075,12.26727,3.118076446944199,3.3538772364851686,18.58696,2.6795697905206413,316.7896,310.5466,5.717509493220641,303.3754,304.2091,303.6489,1.4068636062542164,2.8335738672951964,2.703447625482293,2.491993147810167,0.6367212630849012,0.3334548316874141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.136794,911.2334
Jhabua,2010.0,0.705396,0.21448295639397616,0.38408,0.3805936962008143,0.616044,0.452863,0.3580247325640576,0.266291159497452,0.47007425175190765,1.064522,1.396219,0.6180291600175094,0.5109944095208737,1.4465158428627554,18.23999,3.1343705413650262,3.1812217239369254,13.01175,2.323931430117637,315.6804,304.6877,5.707787112048014,305.6064,309.6083,306.5503,1.5149300706705087,2.525844637580776,2.5208576000111527,1.9769458075030926,0.4991600447153378,0.4524491978621856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.086454,921.765
Katni,2010.0,0.410758,0.23622639645999866,0.398771,0.4468392701558681,0.62081,0.58296,0.40358066699713424,0.36034221128620364,0.45953717147198037,1.238684,1.480013,0.8610219668169472,0.6542961590622821,0.679790374251824,9.132252,3.1304825480401153,3.3473365835296023,18.93739,2.6556981007633835,316.9544,310.9634,5.716889204973929,303.2993,304.0273,303.8217,1.1365430676498163,2.7300543248943367,2.5131620139262956,2.326058523659685,0.6119067559097043,0.2774203506214744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2285949999999999,911.1483000000001
Mandla,2010.0,0.654374,0.30265762697877135,0.412796,0.45206557505221845,0.699422,0.618343,0.46301677794616913,0.5341907214518928,0.5521911505458212,1.37888,2.04092,1.0190851980412539,0.8678514661326681,1.5518501123034045,15.68268,3.307563762311263,3.56068238010868,22.98775,2.907469750571164,316.2883,306.9262,5.712691669656074,301.9187,302.7378,302.1193,1.5416619430784602,2.8299592316414315,2.7727024657707404,2.530525122791797,0.89339378610868,0.31462386106541446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.337802,906.7758000000001
Mandsaur,2010.0,1.35729,0.16724260535356258,0.325011,0.424711371512326,0.473304,0.312332,0.3173127167728155,0.17841309536652966,0.31660766454935235,1.1216,1.299567,0.38849458661170216,0.3507385584175566,0.8019195193244242,9.2755,3.065014369878073,3.0106233490988954,8.940979,2.3123161918968536,317.7422,309.6567,5.707958741899613,307.0603,311.6309,306.0591,0.9249546911516092,2.518781367770328,2.530208196117854,1.6473304362419827,0.1804005461673187,0.5211612269269045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0362010000000001,924.7502999999999
Morena,2010.0,1.484211,0.19038479467532668,0.411691,0.41725203521384424,0.455604,0.361213,0.3200081587333431,0.2092815157100463,0.45135965545126777,1.163187,1.087885,0.4967727429512143,0.4663419334127433,0.059987242262648136,3.765012,2.9607416808124363,2.9861151771720484,11.39355,2.3253092328271956,318.0531,312.1732,5.726913869179618,305.1674,308.5425,302.416,0.6813650429727958,2.1658024780121314,2.422185143545252,2.103838622800206,0.17154536834759648,0.27680336328879823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.139191,916.1259
Narsinghpur,2010.0,2.195619,0.2783208930148299,0.372931,0.4653471797926714,0.619946,0.532665,0.43265476309324563,0.4195987558848019,0.42493500031560155,1.176051,1.705564,0.818823868097944,0.7067275485122999,1.5045439545879165,13.72926,3.2444036008076766,3.2953511925285017,17.0541,2.5945141342931497,316.1383,311.4696,5.718089965950778,304.212,305.7264,304.8089,1.447202236933771,2.9852252677860895,2.654838576667513,2.4629950000666816,0.7293195020851655,0.3852624007906449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2864079999999998,914.7473
Neemuch,2010.0,0.802708,0.19531675228876594,0.42006,0.41592092174443757,0.507039,0.35379,0.3428908787079958,0.23394658781748895,0.42424499035665986,1.237583,1.400032,0.503490990989942,0.4712746960978972,0.7428493097152511,9.821097,3.115650361696195,3.0607013269992263,10.05563,2.395578864722801,317.467,310.6926,5.71401626368114,306.0163,309.7889,303.5189,0.7351956226857765,2.357267293546845,2.685347773446016,1.7379329689821486,0.19548865549205852,0.2527916699552753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.151522,919.3241
Panna,2010.0,1.117173,0.21667869911689908,0.456033,0.4612189063076441,0.603722,0.540354,0.3891582036470208,0.3301688404673421,0.581788713098483,1.472025,1.649032,0.8260136646817944,0.6371766491435186,0.22947069267301817,10.22684,3.2416067096501537,3.3240747674738045,18.13562,2.605467305764425,318.8003,311.9218,5.716817152926657,303.7047,304.9025,304.3991,0.7319365506982025,2.552897018937362,2.381509206043055,1.9570983273205433,0.5481751642902533,0.295007178236848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.283984,913.0062999999999
Raisen,2010.0,0.917656,0.2588612128635688,0.447993,0.4550733502589487,0.588861,0.493203,0.3987848447515214,0.4074378276834252,0.5403316090787651,1.291091,1.718739,0.7450681529164576,0.6321947550217407,1.2082105125434375,15.42951,3.2991244190379656,3.259165965979502,16.06287,2.4891883037447355,316.5769,309.3676,5.714282159537305,304.199,306.9879,304.8498,1.3547843439961078,2.892065323004863,2.4252114917196104,2.217948893036875,0.42589172368969075,0.4716385420471664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.319736,916.0367000000001
